Material Name,Material Type,Tensile Strength (MPa),Compressive Strength (MPa),Elastic Modulus (GPa),Toughness (MJ/m³),Hardness (Shore D),Fatigue Resistance (Cycles),Density (g/cm³),Thermal Conductivity (W/mK),Electrical Conductivity (S/m),Corrosion Resistance (1–10),Formability/Malleability (1–10),Scalability (1–10),Cost ($/kg),Availability,Energy Efficiency (1–10),Biodegradability (%),Description,Notes,Representative_SMILES,Structure_Type,Molecular_Notes,Increase_Temp_1w_%Retention,Increase_Temp_1m_%Retention,Increase_Temp_1y_%Retention,Increase_Temp_10y_%Retention,Decrease_Temp_1w_%Retention,Decrease_Temp_1m_%Retention,Decrease_Temp_1y_%Retention,Decrease_Temp_10y_%Retention,Increase_Pressure_1w_%Retention,Increase_Pressure_1m_%Retention,Increase_Pressure_1y_%Retention,Increase_Pressure_10y_%Retention,Decrease_Pressure_1w_%Retention,Decrease_Pressure_1m_%Retention,Decrease_Pressure_1y_%Retention,Decrease_Pressure_10y_%Retention,Increase_Humidity_1w_%Retention,Increase_Humidity_1m_%Retention,Increase_Humidity_1y_%Retention,Increase_Humidity_10y_%Retention,Decrease_Humidity_1w_%Retention,Decrease_Humidity_1m_%Retention,Decrease_Humidity_1y_%Retention,Decrease_Humidity_10y_%Retention,Increase_UV_1w_%Retention,Increase_UV_1m_%Retention,Increase_UV_1y_%Retention,Increase_UV_10y_%Retention,Decrease_UV_1w_%Retention,Decrease_UV_1m_%Retention,Decrease_UV_1y_%Retention,Decrease_UV_10y_%Retention
Polylactic Acid (PLA),Polymer,58.25,28.25,6.61,11.4,76.97,12756,1.17,0.07,6.951e-05,7.43,4.5,8.71,0.72,High,6.94,65.48,A biodegradable thermoplastic made from corn starch or sugarcane.,"Ideal for 3D printing, packaging, and disposable cutlery.",CC(C(=O)O)O,monomer/repeat/fragment,Lactic acid monomer (use repeat ester linkage for polymer).,99.7,98.8,88.0,55.0,100.0,99.97,99.7,98.0,99.95,99.7,97.0,86.0,100.0,99.97,99.7,98.0,99.5,98.0,80.0,36.0,99.98,99.92,99.1,94.9,99.7,98.7,86.0,50.0,99.97,99.89,98.6,92.0
Polyhydroxyalkanoate (PHA),Polymer,75.03,95.35,7.24,1.5,33.73,82823,1.07,0.09,1.892e-05,7.68,6.75,5.74,8.73,High,5.89,75.07,A biopolymer produced by bacterial fermentation of sugars and lipids.,"Used for medical implants, packaging films, and agriculture mulch.",CC(C(=O)O)O,monomer/repeat/fragment,3-hydroxybutyrate-like monomer; representative repeat unit.,99.7,98.8,88.0,55.0,100.0,99.97,99.7,98.0,99.95,99.7,97.0,86.0,100.0,99.97,99.7,98.0,99.5,98.0,80.0,36.0,99.98,99.92,99.1,94.9,99.7,98.7,86.0,50.0,99.97,99.89,98.6,92.0
Polycaprolactone (PCL),Polymer,83.01,95.12,0.87,3.22,43.34,92457,1.46,0.22,3.29e-05,6.5,9.79,8.45,8.53,Low,6.6,79.91,A biodegradable polyester with low melting point and flexibility.,Used in drug delivery systems and biomedical applications.,O=C1CCCCCO1,monomer/repeat/fragment,ε-Caprolactone lactone ring (polymerizes to polyester).,99.7,98.8,88.0,55.0,100.0,99.97,99.7,98.0,99.95,99.7,97.0,86.0,100.0,99.97,99.7,98.0,99.5,98.0,80.0,36.0,99.98,99.92,99.1,94.9,99.7,98.7,86.0,50.0,99.97,99.89,98.6,92.0
Starch-based Bioplastic,Polymer,84.98,80.32,8.17,31.51,61.44,9454,0.91,0.06,8.348e-05,8.98,7.39,5.64,3.24,Low,8.34,87.62,Derived from corn, potato, or cassava starch.,Great for compostable packaging and disposable food containers.,C(C1C(C(C(C(O1)O)O)O)O)O,monomer/repeat/fragment,Glucose (amylose repeat unit) — representative fragment.,99.7,98.8,88.0,55.0,100.0,99.97,99.7,98.0,99.95,99.7,97.0,86.0,100.0,99.97,99.7,98.0,99.5,98.0,80.0,36.0,99.98,99.92,99.1,94.9,99.7,98.7,86.0,50.0,99.97,99.89,98.6,92.0
Cellulose Acetate,Polymer,51.05,197.89,8.02,32.47,27.8,8978,1.45,0.11,1.321e-05,7.96,8.18,4.19,8.52,Medium,8.43,67.4,A plant-derived thermoplastic from cellulose and acetic acid.,"Used in eyeglass frames, filters, and films.",CC(=O)OC1C(C(C(C(O1)O)O)O)O,monomer/repeat/fragment,Acetylated glucose monomer (representative).,99.7,98.8,88.0,55.0,100.0,99.97,99.7,98.0,99.95,99.7,97.0,86.0,100.0,99.97,99.7,98.0,99.5,98.0,80.0,36.0,99.98,99.92,99.1,94.9,99.7,98.7,86.0,50.0,99.97,99.89,98.6,92.0
Chitosan,Polymer,76.07,189.87,4.06,25.21,68.87,10260,1.03,0.34,4.206e-05,5.74,9.3,5.32,7.31,High,8.3,74.19,Derived from chitin found in shellfish shells.,"Used for water purification, wound dressings, and coatings.",C1C(C(C(O1)N)O)O,monomer/repeat/fragment,D-glucosamine-like unit (deacetylated chitin).,99.7,98.8,88.0,55.0,100.0,99.97,99.7,98.0,99.95,99.7,97.0,86.0,100.0,99.97,99.7,98.0,99.5,98.0,80.0,36.0,99.98,99.92,99.1,94.9,99.7,98.7,86.0,50.0,99.97,99.89,98.6,92.0
Soy Protein Polymer,Polymer,70.85,94.88,4.34,21.3,78.18,55455,1.16,0.14,1.83e-05,9.16,5.07,6.24,8.4,Low,6.36,61.28,Protein-based biodegradable plastic from soybeans.,Suitable for films and adhesives.,NCC(=O)NC(C(C)C)C(=O)O,monomer/repeat/fragment,Representative peptide fragment (protein polymer).,99.7,98.8,88.0,55.0,100.0,99.97,99.7,98.0,99.95,99.7,97.0,86.0,100.0,99.97,99.7,98.0,99.5,98.0,80.0,36.0,99.98,99.92,99.1,94.9,99.7,98.7,86.0,50.0,99.97,99.89,98.6,92.0
Casein Plastic,Polymer,23.96,160.81,3.34,42.04,79.84,60409,0.74,0.3,2.332e-05,6.83,4.32,8.1,3.94,High,8.57,67.29,Milk protein-based thermoplastic.,"Historically used in buttons, jewelry, and sustainable crafts.",NCC(=O)NC(C(=O)O)C,monomer/repeat/fragment,Representative small peptide fragment from casein proteins.,99.7,98.8,88.0,55.0,100.0,99.97,99.7,98.0,99.95,99.7,97.0,86.0,100.0,99.97,99.7,98.0,99.5,98.0,80.0,36.0,99.98,99.92,99.1,94.9,99.7,98.7,86.0,50.0,99.97,99.89,98.6,92.0
Gelatin Biopolymer,Polymer,48.44,66.74,1.09,3.92,29.07,29612,0.46,0.39,7.23e-06,7.52,6.65,6.6,0.86,High,9.7,77.05,Derived from collagen found in animal tissues.,"Used in capsules, coatings, and edible films.",NCC(=O)C(C(=O)O)N,monomer/repeat/fragment,Short peptide motif representing gelatin (collagen-derived).,99.7,98.8,88.0,55.0,100.0,99.97,99.7,98.0,99.95,99.7,97.0,86.0,100.0,99.97,99.7,98.0,99.5,98.0,80.0,36.0,99.98,99.92,99.1,94.9,99.7,98.7,86.0,50.0,99.97,99.89,98.6,92.0
Algae-based Polymer,Polymer,34.67,29.88,5.32,32.4,31.06,81879,1.3,0.09,3.084e-05,6.77,4.35,6.45,5.5,High,5.67,94.02,Made from seaweed biomass with renewable sourcing.,"Used in films, packaging, and biodegradable plastics.",O=C(O)CCO,monomer/repeat/fragment,Representative small polyol/acid fragment from alginate-like polymers.,99.7,98.8,88.0,55.0,100.0,99.97,99.7,98.0,99.95,99.7,97.0,86.0,100.0,99.97,99.7,98.0,99.5,98.0,80.0,36.0,99.98,99.92,99.1,94.9,99.7,98.7,86.0,50.0,99.97,99.89,98.6,92.0
[... truncated for brevity ...]

